Node Number = 390
Cell Number = 721
626 328 329 347 626
627 328 347 346 627
628 348 329 330 628
629 329 348 347 629
630 331 349 330 630
631 330 349 348 631
632 350 331 332 632
633 350 349 331 633
634 332 333 351 634
635 332 351 350 635
636 352 333 334 636
637 352 351 333 637
638 335 353 334 638
639 334 353 352 639
640 335 354 353 640
641 337 336 346 641
642 346 355 337 642
643 337 355 338 643
644 338 355 356 644
645 356 339 338 645
646 339 356 357 646
647 357 340 339 647
648 358 340 357 648
649 340 358 341 649
650 358 359 341 650
651 341 359 342 651
652 360 342 359 652
653 360 343 342 653
654 343 360 361 654
655 361 344 343 655
656 362 344 361 656
657 345 344 362 657
658 346 347 355 658
659 347 348 363 659
660 363 355 347 660
661 349 364 348 661
662 348 364 363 662
663 350 365 349 663
664 364 349 365 664
665 351 366 350 665
666 366 365 350 666
667 367 351 352 667
668 366 351 367 668
669 353 368 352 669
670 352 368 367 670
671 354 369 353 671
672 369 368 353 672
673 363 356 355 673
674 363 370 356 674
675 356 370 357 675
676 357 370 371 676
677 357 371 358 677
678 358 371 372 678
679 359 358 372 679
680 372 373 359 680
681 359 373 360 681
682 360 373 374 682
683 361 360 374 683
684 374 375 361 684
685 361 375 362 685
686 364 370 363 686
687 364 365 376 687
688 376 370 364 688
689 365 366 377 689
690 376 365 377 690
691 366 367 378 691
692 378 377 366 692
693 368 379 367 693
694 378 367 379 694
695 368 369 380 695
696 379 368 380 696
697 371 370 376 697
698 376 381 371 698
699 371 381 372 699
700 372 381 382 700
701 382 373 372 701
702 383 373 382 702
703 374 373 383 703
704 383 384 374 704
705 374 384 375 705
706 377 381 376 706
707 385 377 378 707
708 385 381 377 708
709 378 379 386 709
710 378 386 385 710
711 380 387 379 711
712 379 387 386 712
713 382 381 385 713
714 385 388 382 714
715 382 388 383 715
716 389 383 388 716
717 384 383 389 717
718 385 386 388 718
719 390 386 387 719
720 388 386 390 720
721 388 390 389 721
1 1500.000000 98726.896000 580.000000
2 4500.000000 98726.896000 580.000000
3 7500.000000 98726.896000 580.000000
4 10500.000000 98726.896000 580.000000
5 13500.000000 98726.896000 580.000000
6 16500.000000 98726.896000 580.000000
7 19500.000000 98726.896000 580.000000
8 22500.000000 98726.896000 580.000000
9 25500.000000 98726.896000 580.000000
10 28500.000000 98726.896000 580.000000
11 3000.000000 96128.819800 580.000000
12 0.000000 96128.819800 580.000000
13 6000.000000 96128.819800 580.000000
14 9000.000000 96128.819800 580.000000
15 12000.000000 96128.819800 580.000000
16 15000.000000 96128.819800 580.000000
17 18000.000000 96128.819800 580.000000
18 21000.000000 96128.819800 580.000000
19 24000.000000 96128.819800 580.000000
20 27000.000000 96128.819800 580.000000
21 28500.000000 93530.743600 580.000000
22 1500.000000 93530.743600 580.000000
23 4500.000000 93530.743600 580.000000
24 0.000000 90932.667400 580.000000
25 7500.000000 93530.743600 580.000000
26 10500.000000 93530.743600 580.000000
27 13500.000000 93530.743600 580.000000
28 16500.000000 93530.743600 580.000000
29 19500.000000 93530.743600 580.000000
30 22500.000000 93530.743600 580.000000
31 25500.000000 93530.743600 580.000000
32 27000.000000 90932.667400 580.000000
33 28500.000000 88334.591200 580.000000
34 3000.000000 90932.667400 580.000000
35 6000.000000 90932.667400 580.000000
36 1500.000000 88334.591200 580.000000
37 0.000000 85736.515000 580.000000
38 9000.000000 90932.667400 580.000000
39 12000.000000 90932.667400 580.000000
40 15000.000000 90932.667400 580.000000
41 18000.000000 90932.667400 580.000000
42 21000.000000 90932.667400 580.000000
43 24000.000000 90932.667400 580.000000
44 25500.000000 88334.591200 580.000000
45 27000.000000 85736.515000 580.000000
